pmc_ID,country
PMC7829349,United States
PMC4575436,United States
PMC4603742,France
PMC4787815,United States
PMC4428829,Germany
PMC5846066,Spain
PMC5721160,United States
PMC4802607,Brazil
PMC2518924,United States
PMC3457611,United States
PMC8218908,United States
PMC8692759,China
PMC6497305,Sweden
PMC6303069,Germany
PMC7528684,China
PMC5052634,United States
PMC6479004,United States
PMC6018678,China
PMC3095319,Hungary
PMC8292380,United States
PMC3956809,United States
PMC6367592,China
PMC6406766,Hungary
PMC3511342,Japan
PMC8304505,France
PMC8667166,China
PMC6560725,China
PMC3662768,United States
PMC8134485,South Korea
PMC8662638,Denmark
PMC8807521,China
PMC4028082,United States
PMC5912095,China
PMC2670830,Singapore
PMC8881869,South Korea
PMC7038990,Russia
PMC6019038,China
PMC7248230,Canada
PMC5732280,Italy
PMC4596110,China
PMC6751742,Sweden
PMC6200844,Spain
PMC6427844,United Kingdom
PMC7276932,Mexico
PMC8064568,Canada
PMC7564716,Italy
PMC8741777,China
PMC3916229,Sweden
PMC3486852,Brazil
PMC8073031,Poland
PMC8202604,China
PMC2254495,Netherlands
PMC3368770,Italy
PMC4453227,China
PMC6346165,Austria
PMC5867336,Spain
PMC5737279,United States
PMC8764539,United States
PMC8859113,Russia
PMC6730995,United States
PMC5409181,South Korea
PMC8635533,China
PMC8602908,China
PMC5412318,China
PMC6629913,Austria
PMC3010673,United States
PMC7515203,United States
PMC8544309,China
PMC7044177,New Zealand
PMC8125907,United States
PMC4256280,Germany
PMC7098561,China
PMC4914511,Austria
PMC6977659,China
PMC6329610,United States
PMC7353701,Spain
PMC5209678,United States
PMC8335642,Germany
PMC8198461,Italy
PMC5093412,China
PMC4648439,China
PMC6952417,United States
PMC3816226,United States
PMC7453750,China
PMC8051731,China
PMC4209755,China
PMC8532352,Australia
PMC4632877,China
PMC2653502,Germany
PMC7794557,South Korea
PMC7171486,China
PMC4354738,China
PMC3641628,Italy
PMC7064467,China
PMC5435346,United States
PMC1409679,Japan
PMC7949004,China
PMC6791483,China
PMC8656586,United Kingdom
PMC6708199,China
PMC7878899,United States
PMC4524394,Italy
PMC4552468,United States
PMC6697025,Spain
PMC6896160,China
PMC8097059,Denmark
PMC4047050,United States
PMC4303433,United States
PMC5853088,United States
PMC5817063,United States
PMC7662090,Germany
PMC6316087,Belgium
PMC6606834,Japan
PMC8314960,China
PMC8812268,Germany
PMC7452110,China
PMC8533960,United States
PMC3859506,United States
PMC8337117,China
PMC7758861,United Kingdom
PMC4102416,Brazil
PMC7758413,China
PMC7363743,China
PMC5348487,China
PMC1544346,United States
PMC7525241,Germany
PMC8826493,United States
PMC8476154,United States
PMC5425614,Greece
PMC7564986,Netherlands
PMC5448371,Thailand
PMC4029852,China
PMC4756313,United States
PMC8806183,United States
PMC8329377,China
PMC5811628,India
PMC3329227,United Kingdom
PMC3688795,China
PMC7137338,Switzerland
PMC3823948,Germany
PMC7872560,China
PMC4122106,China
PMC3154475,United States
PMC8741232,China
PMC6256438,United States
PMC4769584,Australia
PMC6699717,Germany
PMC7140523,Brazil
PMC6447596,United States
PMC7269425,United States
PMC8308027,South Africa
PMC7177918,Italy
PMC6775609,Germany
PMC8787928,China
PMC7549164,China
PMC5909749,Spain
PMC5357700,Denmark
PMC8175675,China
PMC3846681,Canada
PMC6414783,France
PMC5542017,France
PMC8740472,United States
PMC7565861,Canada
PMC4675989,China
PMC3138750,Germany
PMC7943628,China
PMC8211706,Israel
PMC4490754,China
PMC8721170,Spain
PMC5487320,China
PMC8001431,Germany
PMC8345052,France
PMC7403822,China
PMC2996923,Poland
PMC4508525,United States
PMC8240180,China
PMC8455697,United States
PMC4245973,Russia
PMC8303858,Egypt
PMC8669770,China
PMC7689709,China
PMC6961686,United Kingdom
PMC8195627,China
PMC7968735,France
PMC6321308,Portugal
PMC8355161,Japan
PMC7881175,Australia
PMC8011970,Australia
PMC5485014,United Kingdom
PMC2988731,United States
PMC5434167,China
PMC6416310,China
PMC8797469,China
PMC8059229,Canada
PMC6082886,France
PMC7692237,Germany
PMC4633624,United States
PMC8848325,Spain
PMC8050962,Canada
PMC7795776,Spain
PMC6308121,China
PMC5665997,China
PMC5608080,Canada
PMC7235323,United States
PMC8096278,United States
PMC5793785,United States
PMC7041248,United States
PMC8078179,Tunisia
PMC6210040,Canada
PMC6700481,China
PMC8561281,United States
PMC7658538,Italy
PMC5407797,United States
PMC8496106,United Kingdom
PMC4872133,China
PMC5339711,China
PMC7554670,United States
PMC7086360,China
PMC5970201,New Zealand
PMC6783542,United States
PMC8719858,Germany
PMC5046889,United States
PMC3435322,New Zealand
PMC4938407,United States
PMC5474092,China
PMC6593675,Canada
PMC8439215,China
PMC6610499,Brazil
PMC5644112,Brazil
PMC7432633,China
PMC7755655,China
PMC7423953,China
PMC6817842,United States
PMC5542476,China
PMC7501589,United States
PMC8336336,China
PMC6898233,China
PMC7545910,China
PMC2279121,United States
PMC3052315,United States
PMC6856850,Switzerland
PMC5345166,United States
PMC7665888,United States
PMC3670839,Japan
PMC6636065,United States
PMC5399570,United States
PMC7565072,Sweden
PMC5223125,United States
PMC7734882,China
PMC8131558,China
PMC7314539,United States
PMC5647007,China
PMC6070567,Netherlands
PMC4118309,United States
PMC7504902,Australia
PMC4219666,China
PMC8409982,United Kingdom
PMC5571953,China
PMC6612819,South Korea
PMC6556008,United States
PMC7078941,China
PMC5094078,Australia
PMC8791585,Spain
PMC6970233,United States
PMC6054169,Brazil
PMC7801604,United Kingdom
PMC6212715,Netherlands
PMC5398497,India
PMC7330137,Australia
PMC7934452,India
PMC6676637,Iran
PMC4892500,United States
PMC3091323,United States
PMC3875862,United States
PMC8417790,China
PMC6384637,China
PMC7813871,Germany
PMC8551916,China
PMC7992078,Sweden
PMC5826200,China
PMC6591120,United Kingdom
PMC7537855,United States
PMC7248314,China
PMC3107201,United States
PMC6010625,United Kingdom
PMC6471059,China
PMC2945792,United States
PMC8009129,China
PMC5696236,Brazil
PMC7319468,United States
PMC6096069,China
PMC5593696,United States
PMC2688208,United States
PMC6315285,Spain
PMC5368280,United States
PMC4068082,China
PMC8464044,Sweden
PMC7938896,China
PMC6298699,United States
PMC6609623,China
PMC7500318,China
PMC3720577,Japan
PMC5897405,Germany
PMC8607476,Germany
PMC8178345,South Korea
PMC6771400,United States
PMC8519539,China
PMC6992623,United States
PMC5494802,Germany
PMC7302156,China
PMC7427349,China
PMC6066108,Italy
PMC6164317,Mexico
PMC4535844,Australia
PMC8684212,China
PMC7078245,United Kingdom
PMC7857439,Netherlands
PMC7066782,China
PMC3527319,Germany
PMC3230611,India
PMC7702228,China
PMC7039982,China
PMC5581491,United Kingdom
PMC5364540,Japan
PMC4554134,China
PMC6105615,United States
PMC4234227,China
PMC7587462,United States
PMC7501558,China
PMC8082142,United States
PMC8340869,France
PMC6780321,United States
PMC4603110,Czech Republic
PMC8472888,Germany
PMC4618389,South Korea
PMC8675533,China
PMC8090890,United Kingdom
PMC7971228,Canada
PMC8404306,Japan
PMC3436933,Singapore
PMC5839156,Australia
PMC8001081,Finland
PMC3040664,United States
PMC7249585,China
PMC6711742,Japan
PMC4567063,Germany
PMC7883156,China
PMC6050701,China
PMC8349485,China
PMC7524716,China
PMC6939389,United States
PMC7426509,United States
PMC7789535,China
PMC7075810,China
PMC4214737,United States
PMC8440838,China
PMC8888902,China
PMC6522070,United States
PMC7584577,United States
PMC7227652,China
PMC6639661,China
PMC8451758,Italy
PMC6456593,United States
PMC8168617,Switzerland
PMC3804491,United States
PMC7826469,Japan
PMC5081970,United States
PMC8327752,China
PMC7453447,China
PMC2268937,Sweden
PMC8315045,United States
PMC8378952,China
PMC7473157,China
PMC3836853,China
PMC3144230,Chile
PMC4970828,Japan
PMC7913198,Poland
PMC5520717,China
PMC6826936,France
PMC3962375,Germany
PMC4816419,Australia
PMC5176122,United Kingdom
PMC6468936,United States
